City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Henties Bay,NA,-22.116,14.2845,59.56,64,26,13.22,scattered clouds
80,Brae,GB,60.3964,-1.353,53.17,72,60,15.55,broken clouds
81,Muyezerskiy,RU,63.9333,31.65,49.84,42,90,7.94,overcast clouds
82,Newport,GB,51.5877,-2.9984,66.11,58,84,11.3,broken clouds
83,Smithers,CA,54.7804,-127.1743,44.92,61,0,3.44,clear sky
84,Port Keats,AU,-14.25,129.55,77.95,40,1,12.59,clear sky
85,Albany,US,42.6001,-73.9662,86.18,71,64,4.07,broken clouds
86,Severo-Kurilsk,RU,50.6789,156.125,41.25,98,100,2.19,overcast clouds
87,Saint Anthony,US,45.0205,-93.218,53.38,54,75,11.5,broken clouds
88,Puerto Ayora,EC,-0.7393,-90.3518,75.16,88,72,7.0,broken clouds
89,Tabas,IR,33.5959,56.9244,80.83,24,6,19.82,clear sky
90,Port Macquarie,AU,-31.4333,152.9167,58.89,94,75,5.75,light rain
91,Ponta Do Sol,PT,32.6667,-17.1,74.03,75,74,1.7,broken clouds
92,Praia,CV,14.9215,-23.5087,81.14,50,20,18.41,few clouds
93,Necochea,AR,-38.5473,-58.7368,59.77,57,0,11.34,clear sky
94,Provideniya,RU,64.3833,-173.3,41.85,67,83,12.03,broken clouds
95,Ribeira Grande,PT,38.5167,-28.7,64.8,100,100,8.05,fog
96,Pangai,TO,-19.8,-174.35,77.63,81,99,15.64,overcast clouds
97,Goderich,CA,43.7501,-81.7165,55.72,88,100,4.61,moderate rain
98,Upernavik,GL,72.7868,-56.1549,27.34,81,100,11.56,overcast clouds
99,Abu Dhabi,AE,24.4667,54.3667,89.62,65,0,9.22,clear sky
100,Killybegs,IE,54.6333,-8.45,60.51,76,100,9.06,overcast clouds
101,Sola,VU,-13.8833,167.55,80.29,78,20,4.83,few clouds
102,Dalvik,IS,65.9702,-18.5286,42.73,93,97,10.11,overcast clouds
103,Yar-Sale,RU,66.8333,70.8333,32.29,79,68,15.88,broken clouds
104,Cehegin,ES,38.0924,-1.7985,87.13,19,100,12.17,overcast clouds
105,Hjelset,NO,62.7833,7.4833,50.97,87,75,9.22,light intensity shower rain
106,Salalah,OM,17.0151,54.0924,86.09,74,75,11.5,broken clouds
107,Ewa Beach,US,21.3156,-158.0072,75.4,87,75,3.44,broken clouds
108,Pafos,CY,34.7667,32.4167,81.23,57,0,6.91,clear sky
109,Pisco,PE,-13.7,-76.2167,66.25,82,40,9.22,mist
110,Poykovskiy,RU,61.2333,73.3333,43.09,81,0,6.71,clear sky
111,Ovsyanka,RU,55.9575,92.5519,63.57,52,100,3.29,overcast clouds
112,Avarua,CK,-21.2078,-159.775,73.45,83,40,3.44,scattered clouds
113,Strezhevoy,RU,60.7333,77.5889,46.06,77,58,6.64,broken clouds
114,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,11.5,scattered clouds
115,Longyearbyen,SJ,78.2186,15.6401,37.24,70,75,10.36,broken clouds
116,Butaritari,KI,3.0707,172.7902,80.42,80,50,10.85,scattered clouds
117,Gornopravdinsk,RU,60.05,69.9,47.14,80,95,7.49,light rain
118,Hermanus,ZA,-34.4187,19.2345,56.8,73,35,8.37,scattered clouds
